namaJabatan,level,namaOpd,namaAtasan,klasterStruktur
Kepala UPTD Kawasan Sains dan Teknologi Solo Technopark,5,UPTD Kawasan Sains dan Teknologi Solo Technopark,,asn
Kepala Subbagian Tata Usaha UPTD Kawasan Sains dan Teknologi Solo Technopark,6,UPTD Kawasan Sains dan Teknologi Solo Technopark,Kepala UPTD Kawasan Sains dan Teknologi Solo Technopark,asn
Penelaah Teknis Kebijakan,8,UPTD Kawasan Sains dan Teknologi Solo Technopark,Kepala Subbagian Tata Usaha UPTD Kawasan Sains dan Teknologi Solo Technopark,asn
Pengelola Layanan Operasional 1,8,UPTD Kawasan Sains dan Teknologi Solo Technopark,Kepala Subbagian Tata Usaha UPTD Kawasan Sains dan Teknologi Solo Technopark,asn
Pengelola Layanan Operasional 2,8,UPTD Kawasan Sains dan Teknologi Solo Technopark,Kepala Subbagian Tata Usaha UPTD Kawasan Sains dan Teknologi Solo Technopark,asn
Pengelola Layanan Operasional 3,8,UPTD Kawasan Sains dan Teknologi Solo Technopark,Kepala Subbagian Tata Usaha UPTD Kawasan Sains dan Teknologi Solo Technopark,asn
Pengolah Data dan Informasi,8,UPTD Kawasan Sains dan Teknologi Solo Technopark,Kepala Subbagian Tata Usaha UPTD Kawasan Sains dan Teknologi Solo Technopark,asn
